City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Cusuna,HN,15.85,-85.2333,72.19,93,92,4.52,overcast clouds
146,Leshukonskoye,RU,64.8989,45.7622,6.75,99,99,4.41,overcast clouds
147,Kodiak,US,57.79,-152.4072,24.31,86,90,0.0,overcast clouds
148,Narsaq,GL,60.9167,-46.05,32.22,97,100,14.32,snow
149,Nome,US,64.5011,-165.4064,17.67,79,90,27.63,mist
150,Hasaki,JP,35.7333,140.8333,46.8,56,100,9.28,overcast clouds
151,Cape Town,ZA,-33.9258,18.4232,70.12,80,92,3.0,overcast clouds
152,Ajaccio,FR,42.0,8.9167,50.05,62,0,5.75,clear sky
153,Codrington,AU,-38.2667,141.9667,57.83,56,0,14.52,clear sky
154,Aklavik,CA,68.2191,-135.0107,-24.43,84,7,6.64,clear sky
155,Siguiri,GN,11.6667,-9.5,74.59,24,90,3.2,overcast clouds
156,Nanortalik,GL,60.1432,-45.2371,30.81,82,100,19.44,snow
157,Ust-Kuyga,RU,70.0167,135.6,-22.22,97,100,4.72,overcast clouds
158,Nadym,RU,65.5333,72.5167,-28.25,100,87,2.59,overcast clouds
159,Goderich,CA,43.7501,-81.7165,35.91,57,100,15.88,overcast clouds
160,Dryden,CA,49.7833,-92.7503,12.65,96,100,3.98,overcast clouds
161,Middlebury,US,44.0153,-73.1673,31.57,85,75,0.0,broken clouds
162,Pimenta Bueno,BR,-11.6725,-61.1936,72.63,98,100,1.88,overcast clouds
163,Altus,US,34.6381,-99.334,44.11,90,1,4.61,mist
164,Foix,FR,42.8333,1.5833,36.01,67,100,4.7,light snow
165,Trelew,AR,-43.249,-65.3051,67.44,35,0,6.87,clear sky
166,Portland,US,45.5234,-122.6762,46.36,91,90,1.99,overcast clouds
167,Port Elizabeth,ZA,-33.918,25.5701,68.61,93,100,14.63,light rain
168,Taoudenni,ML,22.6783,-3.9836,54.45,28,50,12.15,scattered clouds
169,Chicama,PE,-7.8447,-79.1469,66.78,83,98,6.04,overcast clouds
170,Karratha,AU,-20.7377,116.8463,99.82,29,6,28.12,clear sky
171,Avera,US,33.194,-82.5271,53.47,93,2,2.19,clear sky
172,Srednekolymsk,RU,67.45,153.6833,-47.18,100,65,3.29,broken clouds
173,Krasnoselkup,RU,65.7,82.4667,-36.71,100,33,2.84,scattered clouds
174,Winnemucca,US,40.973,-117.7357,44.11,44,3,7.36,clear sky
175,Seredka,RU,58.1584,28.1858,8.35,90,49,6.35,scattered clouds
176,Ulladulla,AU,-35.35,150.4667,62.87,60,76,5.97,broken clouds
177,Kurchum,KZ,48.5722,83.6542,20.62,84,98,1.39,overcast clouds
178,Kavaratti,IN,10.5669,72.642,81.03,77,4,12.48,clear sky
179,Qui Nhon,VN,13.7667,109.2333,73.6,81,97,19.93,overcast clouds
180,Padilla,CO,3.2204,-76.3139,69.37,91,86,3.22,overcast clouds
181,Namatanai,PG,-3.6667,152.4333,78.58,90,100,9.64,moderate rain
182,Esperance,AU,-33.8667,121.9,69.08,64,18,18.41,few clouds
